"MB QR","ASIN","ORDER CODE","SKU USA","FNSKU USA","Nombre","SKU SPAIN","FNSKU SPAIN","SKU UK","FNSKU UK","MB Packing","","","","","","","","","","","","","",""
"BTPSCASCA-0DDF-3M5P-20MB","B07HF9QWJR","BTPSCASCA-0DDF-3M5P","BTPSCASCA-0DDF-3M5P","X001W6SDM9","SC to SC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPSCASCA-0DDF-3M5P","B07HF9QWJR","BTPSCASCA-0DDF-3M5P","X001185DO1","20","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-3M1P-150MB","B00IXP05IQ","BTPLCULCU-0DDF-3M1P","CM-VXZ9-7SJ3","X000KI1JEJ","LC to LC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-3M1P","X000WRCF4N","BTPLCULCU-0DDF-3M1P","X000WUMYSR","150","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-3M1P-150MB","B00IXP1H3S","BTPLCUSCU-0DDF-3M1P","6I-UTU5-G0GN","X000KI1KF7","LC to SC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-3M1P","B00IXP1H3S","BTPLCUSCU-0DDF-3M1P","X00116QCLB","150","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-3M1P-150MB","B00IXP2YB2","BTPLCUSTU-0DDF-3M1P","MN-D1TE-RY28","X000KI1KWF","LC to ST Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-3M1P","B00IXP2YB2","BTPLCUSTU-0DDF-3M1P","X00110ID19","150","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-3M1P-150MB","B00IXP4HG2","BTPSCUSCU-0DDF-3M1P","Q3-OOE9-U9UB","X000KI1LGF","SC to SC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-3M1P","B00IXP4HG2","BTPSCUSCU-0DDF-3M1P","X00110ID3H","150","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-3M1P-150MB","B00IXP5GPS","BTPSCUSTU-0DDF-3M1P","O4-KM85-Y33Z","X000KI1LNN","SC to ST Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-3M1P","B00IXP5GPS","BTPSCUSTU-0DDF-3M1P","X001185DQJ","150","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-3M1P-150MB","B00NFZ4T04","BTPSTUSTU-0DDF-3M1P","R6-RHZ8-U6DH","X000NGRMA3","ST to ST Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-3M1P","B00NFZ4T04","BTPSTUSTU-0DDF-3M1P","X00110ID2D","150","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-1M1P-150MB","B00NFZ86NU","BTPLCULCU-0DDF-1M1P","CT-0T6U-B7MU","X000NHQDQV","LC to LC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-1M1P","X000WG43ZX","BTPLCULCU-0DDF-1M1P","X000WUMYHX","150","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-1M1P-150MB","B00NFZ9SHS","BTPLCUSCU-0DDF-1M1P","0B-J3D6-4TOS","X000NHQDRZ","LC to SC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-1M1P","X000WNKUSF","BTPLCUSCU-0DDF-1M1P","X000WWIX0D","150","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-1M1P-150MB","B00NFZBK0G","BTPLCUSTU-0DDF-1M1P","JP-Q9R5-FV70","X000NGRYJR","LC to ST Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-1M1P","X000WG43ZN","BTPLCUSTU-0DDF-1M1P","X000WNINQ1","150","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-1M1P-150MB","B00NFZDBD0","BTPSCUSCU-0DDF-1M1P","R3-DSEA-AKFS","X000NHQ3RF","SC to SC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-1M1P","X000WNKV0R","BTPSCUSCU-0DDF-1M1P","X000WUMY37","150","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-1M1P-150MB","B00NFZF00W","BTPSCUSTU-0DDF-1M1P","FR-KOND-NHQC","X000NHQ3RZ","SC to ST Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-1M1P","X000WNKUTT","BTPSCUSTU-0DDF-1M1P","X000WNL8VN","150","","","","","","","","","","","","","",""
"BTPSTUSTU-0DDF-1M1P-150MB","B00NFZH9M4","BTPSTUSTU-0DDF-1M1P","GY-D99R-6SYY","X000NHQ3RP","ST to ST Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSTUSTU-0DDF-1M1P","B00NFZH9M4","BTPSTUSTU-0DDF-1M1P","X001185DQT","150","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-2M1P-150MB","B00T56MJGS","BTPLCULCU-0DDF-2M1P","0L-Z7OY-RTC1","X000Q5UE6P","LC to LC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-2M1P","X000WNKWBP","BTPLCULCU-0DDF-2M1P","X000WNINQB","150","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-2M1P-150MB","B00T56O5V0","BTPLCUSCU-0DDF-2M1P","0I-8W96-87EC","X000Q5WXSR","LC to SC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-2M1P","X000WNKWD3","BTPLCUSCU-0DDF-2M1P","X000WNINQL","150","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-2M1P-150MB","B00T56PVPO","BTPLCUSTU-0DDF-2M1P","OJ-E8ID-4VX9","X000Q5WXSH","LC to ST Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-2M1P","B00T56PVPO","BTPLCUSTU-0DDF-2M1P","X00115KC27","150","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-2M1P-150MB","B00T572T7Q","BTPSCUSCU-0DDF-2M1P","86-URAN-PQG9","X000Q5V2CZ","SC to SC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 / - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-2M1P","X000WG43YT","BTPSCUSCU-0DDF-2M1P","X000WRA4LJ","150","","","","","","","","","","","","","",""
